,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T',T'c,RRR,TOri
43,Aloe vera drink,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Bottle (523g),172.59,43.93,0,0,0,0.52,0,10.46,8.6295,14.64333333,0,0,0,2.08,0,0.435833333,0.201154411,5.740429293,0.596129528,0.458891013,0
44,Aloe vera with jelly dessert,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Bowl-dessert (15 cm) (460.79g),126.07,31.52,0,0,0,0.23,0,4.1,6.3035,10.50666667,0,0,0,0.92,0,0.170833333,0.121999637,4.183005051,0.572739789,0.284199145,0
45,Amocan Singapore Rendang Paste,MISCELLANEOUS,Sauces gravies (manufactured),Tablespoon (15g),44.7,3.92,0.42,3.05,1.95,0.77,0.3,96.3,2.235,1.306666667,0.56,4.765625,9.75,3.08,0.1,4.0125,0.498822709,3.641193182,1.125562035,0.452244137,0.045651849
46,Anchovy canned in oil drained,FISH AND FISH PRODUCTS,Fish and roe,Whole (3.6g),6.56,0,0.91,0.32,0.07,0,2.77,197.28,0.328,0,1.213333333,0.5,0.35,0,0.923333333,8.22,0.280310498,3.24,2.439759036,0.247081184,0.004789702
47,Anchovy dried fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-16cm (27g),125.28,0,14.29,7.57,3.35,0,20.25,1244.7,6.264,0,19.05333333,11.828125,16.75,0,6.75,51.8625,0.576489786,21.56354167,2.968549238,0.466841855,0.113306391
48,Anchovy dried with peanut fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,1 portion (100g),554.97,6.5,37.1,42.3,13.1,5.5,88,2120,27.7485,2.166666667,49.46666667,66.09375,65.5,22,29.33333333,88.33333333,0.841660421,51.9302399,1.806363459,0.677681627,0.633138752
49,Anchovy fresh whole,FISH AND FISH PRODUCTS,Fish and roe,Whole (11.2g),8.86,0.08,1.86,0.12,0.05,0,6.83,64.18,0.443,0.026666667,2.48,0.1875,0.25,0,2.276666667,2.674166667,0.929127887,1.296919192,0.898765899,0.878835307,0.001796138
50,Anchovy minus head and entrail dried raw,FISH AND FISH PRODUCTS,Fish and roe,Whole (.3g),0.79,0,0.18,0.01,0,0,0.58,11.91,0.0395,0,0.24,0.015625,0,0,0.193333333,0.49625,0.347004675,0.503958333,0.484808401,0.658360956,0.000149678
51,Anchovy whole dried raw,FISH AND FISH PRODUCTS,Fish and roe,Whole (.1g),0.26,0,0.06,0,0,0,0.06,0.36,0.013,0,0.08,0,0,0,0.02,0.015,0.190839695,0.338333333,0.333991445,3.333333333,0
52,Ang koo kueh green bean fillling,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (51g),144.84,24.48,2.09,4.28,1.89,1.53,-0.51,14.28,7.242,8.16,2.786666667,6.6875,9.45,6.12,-0.17,0.595,0.841443738,5.542651515,0.672488658,1.040680805,0.064062266
