name,brand name,ram,storage,battery,camera 1,camera 2,screen,resolution w,resolution h,thickness,os,color,price
Huawei Ascend P6 S,Huawei,2,16,2000,8,5,4.7,720,1280,6.5,Android,black_white,300 EUR
Huawei Ascend Mate2 4G,Huawei,2,16,4050,13,5,6.1,720,1280,9.5,Android,black_white,330 EUR
Huawei Honor 3X G750,Huawei,2,16,3000,13,5,5.5,720,1280,8.9,Android,black_white,250 EUR
Huawei Ascend P6,Huawei,2,16,2000,8,5,4.7,720,1280,6.2,Android,black_white_pink,230 EUR
Huawei Ascend D2,Huawei,2,32,3000,13,1.3,5,1080,1920,9.4,Android,white_blue,310 EUR
Huawei MediaPad 10 FHD,Huawei,2,64,6600,8,1.3,10,1920,1200,8.8,Android,white,330 EUR
Lenovo moto tab,Lenovo,2,32,7000,8,5,10.1,1200,1920,7.6,Android,black,300 USD
Lenovo K8 Plus,Lenovo,4,32,4000,13,8,5.2,1080,1920,9,Android,black_gold,200 EUR
Lenovo K8 Note,Lenovo,4,64,4000,13,13,5.5,1080,1920,8.5,Android,black_gold,180 EUR
Lenovo Tab 4 10 Plus,Lenovo,4,64,7000,8,5,10.1,1200,1920,7,Android,black_white,300 EUR
Lenovo Tab 4 10,Lenovo,2,32,7000,5,2,10.1,800,1280,8.3,Android,black_white,180 EUR
Lenovo Tab 4 8 Plus,Lenovo,4,64,4850,8,5,8,1200,1920,7,Android,black_white,300 EUR
Lenovo Tab 4 8,Lenovo,2,32,4850,5,2,8,800,1280,8.2,Android,black_white,170 EUR
Lenovo ZUK Edge,Lenovo,6,64,3100,13,8,5.5,1080,1920,7.7,Android,black_white,450 EUR
Lenovo A6600 Plus,Lenovo,2,16,2300,8,2,5,720,1280,8.8,Android,black_white,130 EUR
Lenovo P2,Lenovo,4,64,5100,13,5,5.5,1080,1920,8.3,Android,gold_gray,240 EUR
Lenovo K6 Note,Lenovo,4,32,4000,16,8,5.5,1080,1920,8.4,Android,silver_gold,250 EUR
Lenovo K6,Lenovo,2,32,3000,13,8,5,1080,1920,8.2,Android,silver_gold,200 EUR
Lenovo C2 Power,Lenovo,2,16,3500,8,5,5,720,1280,9.6,Android,black_white,170 EUR
Lenovo Phab2 Pro,Lenovo,4,64,4050,16,8,6.4,1440,2560,10.7,Android,gold,550 EUR
Lenovo ZUK Z2,Lenovo,4,64,3500,13,8,5,1080,1920,8.5,Android,black_white,220 EUR
