,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T'c,Health,Taste,image
35,Achar,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Plate-23cm (174.3g),185.19,40.09,3.31,3.49,1.22,3.31,0,1051.03,9.2595,13.36333333,4.413333333,5.453125,6.1,13.24,0,43.79291667,0.60023333,2.067046384,19,71,
37,Agedeshi tofu,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Pulses based dishes,Plate-16cm (12g),15.08,0.63,0.47,1.19,0.33,0.07,0.1,15.7,0.754,0.21,0.626666667,1.859375,1.65,0.28,0.033333333,0.654166667,0.527728685,0.706419238,16,20,
41,Almond jelly,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,1 portion (200g),150,32.8,2.4,1.2,0.7,0,3.8,28,7.5,10.93333333,3.2,1.875,3.5,0,1.266666667,1.166666667,0.303483159,0.626232917,9,17,
46,Anchovy canned in oil drained,FISH AND FISH PRODUCTS,Fish and roe,Whole (3.6g),6.56,0,0.91,0.32,0.07,0,2.77,197.28,0.328,0,1.213333333,0.5,0.35,0,0.923333333,8.22,0.280310498,2.439759036,9,85,
48,Anchovy dried with peanut fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,1 portion (100g),554.97,6.5,37.1,42.3,13.1,5.5,88,2120,27.7485,2.166666667,49.46666667,66.09375,65.5,22,29.33333333,88.33333333,0.841660421,1.806363459,26,61,
52,Ang koo kueh green bean fillling,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (51g),144.84,24.48,2.09,4.28,1.89,1.53,-0.51,14.28,7.242,8.16,2.786666667,6.6875,9.45,6.12,-0.17,0.595,0.841443738,0.672488658,26,18,
53,Ang koo kueh peanut filling,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (67.8g),239.33,26.31,6.03,12.2,4.07,3.25,0,35.93,11.9665,8.77,8.04,19.0625,20.35,13,0,1.497083333,1.217619711,0.769805213,38,22,
55,Apple crumble,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (146.04g),353.5,49.11,5.84,14.85,11.54,6.05,11.76,92.18,17.675,16.37,7.786666667,23.203125,57.7,24.2,3.92,3.840833333,0.801317259,0.780047125,25,22,
56,Apple Dippers with Caramel Sauce McDonald's,FAST FOODS,All fast food outlets in alphabetical order,Packet (89g),32.93,7,0,0,0,1,0,2,1.6465,2.333333333,0,0,0,4,0,0.083333333,2.035975062,0.411254048,63,9,
60,Apple pie McDonald's,FAST FOODS,All fast food outlets in alphabetical order,Piece (85g),232.05,26,1.7,13,6.3,2,0,190.4,11.6025,8.666666667,2.266666667,20.3125,31.5,8,0,7.933333333,0.422405442,1.004380244,13,31,
61,Apple strudel,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (128g),282.88,35.97,3.46,13.95,7.78,3.97,26.88,138.24,14.144,11.99,4.613333333,21.796875,38.9,15.88,8.96,5.76,0.637227632,0.884690056,20,26,
62,Apple dried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fruit and fruit products,Packet (101g),356.53,77.27,0,0.51,0.12,9.9,0,313.1,17.8265,25.75666667,0,0.796875,0.6,39.6,0,13.04583333,1.737741001,0.696551672,54,19,
73,Apricot dried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fruit and fruit products,Packet (202g),521.16,127.87,1.62,0.4,0.14,19.59,0,44.44,26.058,42.62333333,2.16,0.625,0.7,78.36,0,1.851666667,2.918058985,0.527893317,91,13,
78,Asparagus canned solid and liquid,VEGETABLE AND VEGETABLE PRODUCTS,Vegetables non-leafy (eg sweetcorn beansprouts),Stalk (10g),1.41,0.22,0.18,0.02,0,0.21,0,34.8,0.0705,0.073333333,0.24,0.03125,0,0.84,0,1.45,1.069672795,0.773746338,33,22,
80,Assam fish,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (183.6g),134.03,2.2,22.58,4.04,2.33,2.02,66.1,578.34,6.7015,0.733333333,30.10666667,6.3125,11.65,8.08,22.03333333,24.0975,1.45644376,1.362308405,45,44,
84,Athirasam deep fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (55g),238.15,36.14,1.98,9.52,4.28,0.83,0,34.65,11.9075,12.04666667,2.64,14.875,21.4,3.32,0,1.44375,0.30663957,0.77884305,10,22,
87,Ayam buah keluak,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (662g),900.32,23.83,66.86,59.58,19.2,3.97,377.34,3210.7,45.016,7.943333333,89.14666667,93.09375,96,15.88,125.78,133.7791667,0.642291104,1.70299269,20,57,
88,Ayam kurmah,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (519g),877.11,38.93,29.06,66.95,35.34,10.38,67.47,1001.67,43.8555,12.97666667,38.74666667,104.609375,176.7,41.52,22.49,41.73625,0.677553515,1.172115223,21,37,
89,Ayam masak lemak cili padi,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (230g),362.02,1.77,22.56,29.42,15.96,1.52,87.81,509.22,18.101,0.59,30.08,45.96875,79.8,6.08,29.27,21.2175,0.60476557,1.191511074,19,38,
90,Ayam penyet with rice,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (499g),935.63,77.2,84.28,32.48,11.43,4.44,120.46,1591.76,46.7815,25.73333333,112.3733333,50.75,57.15,17.76,40.15333333,66.32333333,1.367714834,1.008280856,42,31,
91,Ayam sioh,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (385g),616,21.56,55.44,34.27,11.17,7.32,223.3,1620.85,30.8,7.186666667,73.92,53.546875,55.85,29.28,74.43333333,67.53541667,1.098821854,1.333967227,34,43,
92,Ayam tempra,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Plate-16cm (137.98g),268.37,3.34,22.5,18.34,5.49,2.58,127.13,480.17,13.4185,1.113333333,30,28.65625,27.45,10.32,42.37666667,20.00708333,0.964329254,1.154528256,30,37,
94,Bacon and cheese tako ball,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (90g),134.1,18.81,7.29,3.33,1.35,1.35,25.2,380.7,6.705,6.27,9.72,5.203125,6.75,5.4,8.4,15.8625,0.838758806,1.229276051,26,39,
95,Bacon cooked baked,MEAT AND MEAT PRODUCTS,Pork,Slice (8.1g),44.39,0.11,2.89,3.5,1.15,0,8.67,177.63,2.2195,0.036666667,3.853333333,5.46875,5.75,0,2.89,7.40125,0.499117046,1.440182223,15,47,
96,Bacon cooked pan-fried,MEAT AND MEAT PRODUCTS,Pork,Slice (7.9g),42.11,0.12,3.03,3.18,1.05,0,8.93,191.81,2.1055,0.04,4.04,4.96875,5.25,0,2.976666667,7.992083333,0.521481787,1.503190007,16,50,
98,Bagel plain,CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (120g),330,64.08,12.6,1.92,0.26,2.76,0,640.8,16.5,21.36,16.8,3,1.3,11.04,0,26.7,1.026576202,1.009489177,32,31,
99,Bak kua beef,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (54g),178.74,22.09,15.44,3.19,1.4,0,38.34,481.68,8.937,7.363333333,20.58666667,4.984375,7,0,12.78,20.07,0.890122958,1.143440417,28,36,
100,Bak kua chicken,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Slice (45g),175.05,18.5,10.89,6.35,2.47,0.95,14.4,404.55,8.7525,6.166666667,14.52,9.921875,12.35,3.8,4.8,16.85625,0.91343201,1.167561931,28,37,
102,Bak kua pork lean,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Slice (94g),370.36,47.28,36.1,4.04,1.75,1.69,8.46,846.94,18.518,15.76,48.13333333,6.3125,8.75,6.76,2.82,35.28916667,1.65430362,1.010688398,51,31,
103,Bak kut teh,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (458g),348.08,0,30.23,25.19,10.08,0,164.88,1415.22,17.404,0,40.30666667,39.359375,50.4,0,54.96,58.9675,0.551446612,1.799008821,17,61,
105,Baked durian mooncake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (25g),102.35,12.44,1.28,5.28,2.03,0.68,0.75,46.38,5.1175,4.146666667,1.706666667,8.25,10.15,2.72,0.25,1.9325,0.486952811,0.842330126,15,25,
106,Baked kueh lapis,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (50g),237.3,17.3,4,16.9,10.45,0.6,112,159.5,11.865,5.766666667,5.333333333,26.40625,52.25,2.4,37.33333333,6.645833333,0.167872317,1.039637534,5,32,
107,Baked lotus paste mooncake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (25g),95.28,12.69,1.39,4.33,1.09,0.67,1.48,29.18,4.764,4.23,1.853333333,6.765625,5.45,2.68,0.493333333,1.215833333,0.655330386,0.772170219,20,22,
108,Baked otah bun,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Whole (67g),190.28,28.14,7.1,5.49,3.75,1.34,26.8,263.98,9.514,9.38,9.466666667,8.578125,18.75,5.36,8.933333333,10.99916667,0.628867281,0.96134507,20,29,
111,Bamboo shoot in coconut milk stewed (Malay),MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Bowl-rice (11and 1/2 cm) (187.1g),108.52,2.88,3.93,8.98,7.71,2.75,10.14,631.46,5.426,0.96,5.24,14.03125,38.55,11,3.38,26.31083333,0.543404748,2.146973548,17,74,
112,Bamboo shoots braised canned drained,VEGETABLE AND VEGETABLE PRODUCTS,Starchy rootstuberscorms and stems,Piece (5.8g),3.77,0.28,0.09,0.25,0.01,0.12,0,44.78,0.1885,0.093333333,0.12,0.390625,0.05,0.48,0,1.865833333,0.474306028,0.929642449,15,28,
101,Bak kua pork with lean and fat,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (75g),300.75,32.03,20.03,10.28,4.13,0,44.25,732,15.0375,10.67666667,26.70666667,16.0625,20.65,0,14.75,30.5,0.713435153,1.23065259,22,39,
115,Ban mian noodles only,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (334g),283.9,55.78,9.35,2.67,0.57,3.34,6.68,604.54,14.195,18.59333333,12.46666667,4.171875,2.85,13.36,2.226666667,25.18916667,1.000569386,1.08435083,31,34,
121,Banana cake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (90g),291.6,32.58,5.04,15.66,6.44,1.17,64.8,128.7,14.58,10.86,6.72,24.46875,32.2,4.68,21.6,5.3625,0.330763367,0.904002315,10,27,
122,Banana chips,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,1 portion (50g),255.85,28.02,1.28,15.41,7.44,2.15,0,107.95,12.7925,9.34,1.706666667,24.078125,37.2,8.6,0,4.497916667,0.397035194,0.942137983,12,29,
123,Banana flower,VEGETABLE AND VEGETABLE PRODUCTS,Vegetables non-leafy (eg sweetcorn beansprouts),Cup (34g),9.52,1.5,0.48,0.07,0.01,0.27,0,20.13,0.476,0.5,0.64,0.109375,0.05,1.08,0,0.83875,1.529148381,0.540966063,47,13,
127,Barbecued chicken wings,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Piece (98g),252.84,0,24.4,17.35,4.9,0,131.32,533.12,12.642,0,32.53333333,27.109375,24.5,0,43.77333333,22.21333333,0.78108494,1.229602412,24,39,
128,Barbecued spare ribs,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Piece (27.82g),110.72,1.39,6.37,8.87,3.64,0,25.59,152.73,5.536,0.463333333,8.493333333,13.859375,18.2,0,8.53,6.36375,0.529045101,1.108148692,16,35,
129,Barbecued spring chicken,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,One half (315g),749.7,0,70.25,51.98,15.44,0,459.9,1474.2,37.485,0,93.66666667,81.21875,77.2,0,153.3,61.425,0.708715434,1.244153566,22,40,
130,Barfi,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (50g),270.5,27.5,2.55,16.7,5.74,0.75,0,6,13.525,9.166666667,3.4,26.09375,28.7,3,0,0.25,0.300739032,0.850740625,9,25,
135,Basan cake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (55g),296.45,30.8,2.09,18.37,9.77,0.94,7.15,3.3,14.8225,10.26666667,2.786666667,28.703125,48.85,3.76,2.383333333,0.1375,0.20969057,0.85740363,7,25,
139,Basil Crayfish Pasta Pizzahut,FAST FOODS,All fast food outlets in alphabetical order,Whole (360g),482.4,65.52,25.2,14.04,2.92,8.28,36.72,1710,24.12,21.84,33.6,21.9375,14.6,33.12,12.24,71.25,1.158135924,1.526035635,36,51,
142,Bathusa,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (56g),284.48,31.3,2.52,16.58,7.6,0.56,0,19.6,14.224,10.43333333,3.36,25.90625,38,2.24,0,0.816666667,0.21466187,0.851749398,7,25,
144,BBQ Turkey Bacon Double Cheeseburger Burger King,FAST FOODS,All fast food outlets in alphabetical order,Whole (221g),623.22,38.87,35.36,35.05,13.54,2.87,90.61,1180.14,31.161,12.95666667,47.14666667,54.765625,67.7,11.48,30.20333333,49.1725,0.762067213,1.223314305,24,39,
148,Beans broad coated with satay powder deep fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Cup (121g),472.63,40.39,22.84,24.41,10.26,11.28,4.48,1130.87,23.6315,13.46333333,30.45333333,38.140625,51.3,45.12,1.493333333,47.11958333,1.398161129,1.310593656,43,42,
156,Beansprouts with salted fish stir fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Plate-20cm (75.9g),88.8,1.62,4.78,7.06,2.01,1.25,3.32,690.77,4.44,0.54,6.373333333,11.03125,10.05,5,1.106666667,28.78208333,0.624725875,2.5090612,19,88,
158,Bee hoon soto,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (902.21g),358.72,30.95,19.76,17.32,6.77,3.52,62.43,1537.37,17.936,10.31666667,26.34666667,27.0625,33.85,14.08,20.81,64.05708333,0.684605365,1.797178721,21,61,
159,Bee hoon soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (650g),580.45,75.4,29.25,18.01,6.11,7.28,109.2,856.05,29.0225,25.13333333,39,28.140625,30.55,29.12,36.4,35.66875,1.081873224,0.994590547,34,30,
160,Beef and egg porridge,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (403g),285.32,10.36,16.12,19.95,4.72,1.57,210.37,1354.08,14.266,3.453333333,21.49333333,31.171875,23.6,6.28,70.12333333,56.42,0.41180894,2.004197533,13,69,
161,Beef ball kway teow soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),627,86.35,38.5,14.3,6.99,5.5,38.5,1496,31.35,28.78333333,51.33333333,22.34375,34.95,22,12.83333333,62.33333333,1.066718386,1.185750472,33,38,
164,Beef burger with cheese,FAST FOODS,All fast food outlets in alphabetical order,Whole (118g),300.12,32,17,12,5.99,2.31,41.01,690.01,15.006,10.66666667,22.66666667,18.75,29.95,9.24,13.67,28.75041667,0.804320161,1.234886507,25,40,
165,Beef Goulash,MEAT AND MEAT PRODUCTS,Beef and veal,1 portion (232g),252.88,5.75,30.62,10.9,3.16,1.16,78.88,524.32,12.644,1.916666667,40.82666667,17.03125,15.8,4.64,26.29333333,21.84666667,1.434223768,1.015025104,44,31,
166,Beef hor fun,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (481g),697.45,94.76,19.72,26.46,11.54,6.25,38.48,1717.17,34.8725,31.58666667,26.29333333,41.34375,57.7,25,12.82666667,71.54875,0.610247352,1.357381044,19,44,
167,Beef in tomato sauce,OTHER MIXED ETHNIC DISHES,Meat based dishes,Piece (85g),168.81,9.53,16.69,7.11,5.71,1.22,53.66,384.12,8.4405,3.176666667,22.25333333,11.109375,28.55,4.88,17.88666667,16.005,0.9056038,1.09938362,28,34,
168,Beef Lasagne Pizzahut,FAST FOODS,All fast food outlets in alphabetical order,Whole (262g),917,79.91,58.43,40.61,20.7,13.62,66.55,2360.62,45.85,26.63666667,77.90666667,63.453125,103.5,54.48,22.18333333,98.35916667,1.121928683,1.329902143,35,43,
171,Beef porridge,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (370g),217.93,21.9,12.95,8.73,2.96,1.04,25.16,878.01,10.8965,7.3,17.26666667,13.640625,14.8,4.16,8.386666667,36.58375,0.675899861,1.647818814,21,55,
172,Beef satay without satay sauce,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Stick (12g),28.74,2.3,2.92,0.88,0.37,0,19.68,27.96,1.437,0.766666667,3.893333333,1.375,1.85,0,6.56,1.165,0.757554317,0.598599868,24,16,
173,Beef shin with vegetable,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Plate-20cm (272.22g),280.39,7.89,25.32,16.61,4.76,6.53,46.28,1107.94,14.0195,2.63,33.76,25.953125,23.8,26.12,15.42666667,46.16416667,1.483575441,1.633694799,46,55,
174,Beef stomach noodles,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (293g),398.48,41.02,31.64,12.01,4.34,5.27,61.53,1004.99,19.924,13.67333333,42.18666667,18.765625,21.7,21.08,20.51,41.87458333,1.340297987,1.189068507,42,38,
175,Beef Taco,MEAT AND MEAT PRODUCTS,Beef and veal,1 portion (78g),184.08,11.19,8.42,10.51,3.63,2.81,24.18,348.66,9.204,3.73,11.22666667,16.421875,18.15,11.24,8.06,14.5275,1.040339756,1.143232972,32,36,
176,Beef udon soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (632g),458.83,54.6,24.52,15.8,6.89,3.35,123.24,2051.47,22.9415,18.2,32.69333333,24.6875,34.45,13.4,41.08,85.47791667,0.566018575,1.807207573,18,61,
177,Beef blade steak grilled lean and fat,MEAT AND MEAT PRODUCTS,Beef and veal,Whole (160g),303.54,0,48.8,11.84,4.48,0,128,73.6,15.177,0,65.06666667,18.5,22.4,0,42.66666667,3.066666667,1.929379949,0.464994883,60,11,
178,Beef blade steak grilled lean only,MEAT AND MEAT PRODUCTS,Beef and veal,Whole (160g),261.44,0,50.56,6.4,2.08,0,129.6,76.8,13.072,0,67.41333333,10,10.4,0,43.2,3.2,2.377996012,0.336365359,74,6,
181,Beef boneless unspecified cut cooked lean only,MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),345.8,0,59.47,11.97,5.3,0,142.5,114,17.29,0,79.29333333,18.703125,26.5,0,47.5,4.75,2.04280022,0.445655641,63,10,
184,Beef brisket corned boiled  lean and fat,MEAT AND MEAT PRODUCTS,Beef and veal,Whole (45g),140.03,0,11.52,10.53,4.77,0,31.05,370.8,7.0015,0,15.36,16.453125,23.85,0,10.35,15.45,0.666071134,1.370706534,21,45,
185,Beef brisket corned boiled lean only,MEAT AND MEAT PRODUCTS,Beef and veal,Whole (45g),95.51,0,14,4.37,2.16,0,31.95,423,4.7755,0,18.66666667,6.828125,10.8,0,10.65,17.625,1.040493789,1.469028656,32,48,
